,values,dates
0,1.6775157,2022-08-14
1,1.5410507,2022-08-15
2,1.5729837,2022-08-16
3,1.5414803,2022-08-17
4,1.5339508,2022-08-18
5,1.4346178,2022-08-19
6,1.5090194,2022-08-20
7,1.3969004,2022-08-21
8,1.3822588,2022-08-22
9,1.2781751,2022-08-23
10,1.3843735,2022-08-24
11,1.2759074,2022-08-25
12,1.3078461,2022-08-26
13,1.3306344,2022-08-27
14,1.2984881,2022-08-28
15,1.2083216,2022-08-29
16,1.2467304,2022-08-30
17,1.2760277,2022-08-31
18,1.1743093,2022-09-01
19,1.3420938,2022-09-02
20,1.2423058,2022-09-03
21,1.292367,2022-09-04
22,1.3395112,2022-09-05
23,1.2948985,2022-09-06
24,1.3761809,2022-09-07
25,1.387424,2022-09-08
26,1.2734036,2022-09-09
27,1.2398845,2022-09-10
28,1.2883198,2022-09-11
29,1.3112627,2022-09-12
30,1.408505,2022-09-13
31,1.3406101,2022-09-14
32,1.3047532,2022-09-15
33,1.3497139,2022-09-16
34,1.2414422,2022-09-17
35,1.2699795,2022-09-18
36,1.2021111,2022-09-19
37,1.2420595,2022-09-20
38,1.1799479,2022-09-21
39,1.1144966,2022-09-22
40,1.149949,2022-09-23
41,1.1635262,2022-09-24
42,1.1082463,2022-09-25
43,1.1670425,2022-09-26
44,1.1738402,2022-09-27
45,1.1329025,2022-09-28
46,1.1234818,2022-09-29
47,1.2041783,2022-09-30
48,1.1347873,2022-10-01
49,1.1859585,2022-10-02
50,1.1669791,2022-10-03
51,1.1693333,2022-10-04
52,1.1358176,2022-10-05
53,1.2497339,2022-10-06
54,1.1282007,2022-10-07
55,1.0529413,2022-10-08
56,1.3341162,2022-10-09
57,1.1060815,2022-10-10
58,1.134545,2022-10-11
59,1.2466965,2022-10-12
60,1.226258,2022-10-13
61,1.2100365,2022-10-14
62,1.1336887,2022-10-15
63,1.2329801,2022-10-16
64,1.0751108,2022-10-17
65,1.1139293,2022-10-18
66,1.2155876,2022-10-19
67,1.1263535,2022-10-20
68,1.4159696,2022-10-21
69,0.88761383,2022-10-22
70,1.282273,2022-10-23
71,1.2623552,2022-10-24
72,0.96821195,2022-10-25
73,1.1478027,2022-10-26
74,1.309211,2022-10-27
75,0.99360883,2022-10-28
76,1.1980495,2022-10-29
77,1.2132733,2022-10-30
78,1.1147642,2022-10-31
79,1.2216095,2022-11-01
80,1.0631695,2022-11-02
81,1.2454636,2022-11-03
82,1.1481135,2022-11-04
83,1.1513107,2022-11-05
84,1.1606696,2022-11-06
85,1.07901,2022-11-07
86,1.3176392,2022-11-08
87,1.2625611,2022-11-09
88,1.0943907,2022-11-10
89,1.2022748,2022-11-11
90,1.2079405,2022-11-12
91,0.9034026,2022-11-13
92,1.130175,2022-11-14
93,1.0399897,2022-11-15
94,1.0412903,2022-11-16
95,1.0364405,2022-11-17
96,1.0800602,2022-11-18
97,1.112448,2022-11-19
98,1.0503184,2022-11-20
99,1.1180526,2022-11-21
100,1.1625,2022-11-22
101,0.94492376,2022-11-23
102,1.1363271,2022-11-24
103,0.9342619,2022-11-25
104,1.0287788,2022-11-26
105,0.9479304,2022-11-27
106,1.1807635,2022-11-28
107,0.9961936,2022-11-29
108,1.0627316,2022-11-30
109,1.0419033,2022-12-01
110,1.0819907,2022-12-02
111,1.0842935,2022-12-03
112,1.1751845,2022-12-04
113,1.0438511,2022-12-05
114,1.1898067,2022-12-06
115,1.050346,2022-12-07
116,1.0755957,2022-12-08
117,1.0599095,2022-12-09
118,1.1073236,2022-12-10
119,0.99598783,2022-12-11
120,1.070539,2022-12-12
121,1.05437,2022-12-13
122,0.9754344,2022-12-14
123,1.0407093,2022-12-15
124,1.0760231,2022-12-16
125,0.963397,2022-12-17
126,1.0736603,2022-12-18
127,0.99180585,2022-12-19
128,0.9628625,2022-12-20
129,0.9430545,2022-12-21
130,0.8709652,2022-12-22
131,0.8700824,2022-12-23
132,0.97773224,2022-12-24
133,0.8509936,2022-12-25
134,0.8619476,2022-12-26
135,0.9189746,2022-12-27
136,0.8111458,2022-12-28
137,0.91501206,2022-12-29
138,0.8219952,2022-12-30
139,0.8968206,2022-12-31
140,0.859119,2023-01-01
