,values,dates
0,2.080237,2022-08-14
1,2.0039916,2022-08-15
2,2.0656524,2022-08-16
3,2.017346,2022-08-17
4,1.8824425,2022-08-18
5,1.9274893,2022-08-19
6,1.720876,2022-08-20
7,1.2299902,2022-08-21
8,1.5319109,2022-08-22
9,1.5225009,2022-08-23
10,1.2556165,2022-08-24
11,1.605211,2022-08-25
12,2.0309844,2022-08-26
13,1.8459803,2022-08-27
14,1.6852845,2022-08-28
15,1.8498913,2022-08-29
16,1.5700176,2022-08-30
17,1.5336652,2022-08-31
18,1.5060861,2022-09-01
19,1.5296576,2022-09-02
20,1.5231779,2022-09-03
21,1.3979579,2022-09-04
22,1.4339669,2022-09-05
23,1.7313414,2022-09-06
24,1.7680542,2022-09-07
25,1.7840065,2022-09-08
26,1.7836742,2022-09-09
27,1.6194521,2022-09-10
28,1.8307643,2022-09-11
29,1.8744181,2022-09-12
30,1.7725,2022-09-13
31,1.7082417,2022-09-14
32,1.6658429,2022-09-15
33,1.6221465,2022-09-16
34,1.3108053,2022-09-17
35,1.6177807,2022-09-18
36,1.6752741,2022-09-19
37,1.3401245,2022-09-20
38,1.4313402,2022-09-21
39,1.3925648,2022-09-22
40,1.3477268,2022-09-23
41,1.3240929,2022-09-24
42,1.2902329,2022-09-25
43,1.2153599,2022-09-26
44,1.2807152,2022-09-27
45,1.3841839,2022-09-28
46,1.190376,2022-09-29
47,1.2457061,2022-09-30
48,1.2054551,2022-10-01
49,1.2516745,2022-10-02
50,1.3585262,2022-10-03
51,1.4162116,2022-10-04
52,1.6407046,2022-10-05
53,1.4879175,2022-10-06
54,1.5743349,2022-10-07
55,1.8067079,2022-10-08
56,1.4134414,2022-10-09
57,1.4437962,2022-10-10
58,1.386555,2022-10-11
59,1.3514192,2022-10-12
60,1.4811763,2022-10-13
61,1.6929325,2022-10-14
62,1.6324191,2022-10-15
63,1.3702848,2022-10-16
64,1.3800225,2022-10-17
65,1.3104903,2022-10-18
66,1.5773247,2022-10-19
67,1.2852287,2022-10-20
68,0.9600399,2022-10-21
69,1.5255688,2022-10-22
70,1.2367101,2022-10-23
71,1.0482435,2022-10-24
72,1.42471,2022-10-25
73,1.4968276,2022-10-26
74,1.3548293,2022-10-27
75,1.5232439,2022-10-28
76,1.6092492,2022-10-29
77,1.8991553,2022-10-30
78,1.6603568,2022-10-31
79,1.6204951,2022-11-01
80,2.006609,2022-11-02
81,1.8805137,2022-11-03
82,1.7615008,2022-11-04
83,1.7564249,2022-11-05
84,1.7693148,2022-11-06
85,1.9134269,2022-11-07
86,1.7757872,2022-11-08
87,1.4883184,2022-11-09
88,1.3732195,2022-11-10
89,1.3810909,2022-11-11
90,1.2211483,2022-11-12
91,1.2239966,2022-11-13
92,1.3039048,2022-11-14
93,1.213948,2022-11-15
94,1.2275625,2022-11-16
95,1.0566427,2022-11-17
96,1.0357108,2022-11-18
97,1.2570878,2022-11-19
98,1.4556704,2022-11-20
99,1.4150501,2022-11-21
100,1.2755656,2022-11-22
101,1.2637577,2022-11-23
102,1.228648,2022-11-24
103,1.0806236,2022-11-25
104,1.1371262,2022-11-26
105,1.2694786,2022-11-27
106,1.190778,2022-11-28
107,1.2384335,2022-11-29
108,1.1399074,2022-11-30
109,1.2106807,2022-12-01
110,1.2036233,2022-12-02
111,1.0027751,2022-12-03
112,1.1132009,2022-12-04
113,1.3252307,2022-12-05
114,1.06216,2022-12-06
115,0.989575,2022-12-07
116,1.2103118,2022-12-08
117,1.3116387,2022-12-09
118,1.2373712,2022-12-10
119,1.2312856,2022-12-11
120,0.9685482,2022-12-12
121,0.9390912,2022-12-13
122,1.4183959,2022-12-14
123,1.3138621,2022-12-15
124,1.3957112,2022-12-16
125,1.4752867,2022-12-17
126,1.4110985,2022-12-18
127,1.3578559,2022-12-19
128,1.1729884,2022-12-20
129,1.1093185,2022-12-21
130,1.2757239,2022-12-22
131,1.3356395,2022-12-23
132,1.296679,2022-12-24
133,1.250169,2022-12-25
134,1.2896641,2022-12-26
135,1.4253119,2022-12-27
136,1.2633259,2022-12-28
137,1.1149626,2022-12-29
138,1.3301716,2022-12-30
139,1.253144,2022-12-31
140,1.139324,2023-01-01
